title,url,price,tags
AI LIMIT,https://store.steampowered.com/app/2407270/AI_LIMIT/,$34.99,"['Combat', 'Action-Adventure', 'Action RPG', 'Anime', 'Drama', 'Action', 'Dystopian ', 'Female Protagonist', '3D', 'Dungeon Crawler', 'Post-apocalyptic', 'RPG', 'Singleplayer', 'Cute', 'Fantasy', 'Adventure', 'Souls-like', 'Sexual Content']"
Stray,https://store.steampowered.com/app/1332010/Stray/,$17.99,"['Horror', 'Singleplayer', 'Adventure', 'Atmospheric', 'Puzzle', 'Cute', 'Exploration', 'Cyberpunk', 'Open World', 'Mystery', 'Action', 'Robots', 'Sci-fi', 'Stealth', 'Third Person', 'Cats', 'Beautiful', 'Dystopian ', 'Colorful']"
Valheim,https://store.steampowered.com/app/892970/Valheim/,$19.99,"['Survival', 'PvE', 'Multiplayer', 'Action', 'Singleplayer', 'Co-op', 'Mythology', 'Early Access', 'Open World Survival Craft', 'Exploration', 'Difficult', 'Building', 'Adventure', 'Crafting', 'Sandbox', 'Open World', 'Third Person']"
Terraria,https://store.steampowered.com/app/105600/Terraria/,$9.99,"['Survival', '2D', 'Multiplayer', 'Action', 'Singleplayer', 'Co-op', 'Pixel Graphics', 'RPG', 'Platformer', 'Open World Survival Craft', 'Sandbox', 'Exploration', 'Building', 'Adventure', 'Crafting', 'Atmospheric', 'Open World', 'Replay Value']"
Assetto Corsa,https://store.steampowered.com/app/244210/Assetto_Corsa/,$19.99,"['Racing', 'Simulation', 'Open World', 'First-Person', 'Multiplayer', 'Action', 'VR', 'Singleplayer', 'Physics', 'Driving', '3D Vision', 'Sports', 'Moddable', 'Replay Value', 'Realistic', 'Artificial Intelligence', 'Controller', 'TrackIR']"
Wallpaper Engine,https://store.steampowered.com/app/431960/Wallpaper_Engine/,$4.99,"['Anime', 'Photo Editing', 'Horror', 'Singleplayer', 'Software', 'Memes', 'Sexual Content', 'Game Development', 'Early Access', 'Cute', 'Sandbox', 'First-Person', 'Action', 'Funny', 'Utilities', 'Gaming', 'Mature', 'Animation & Modeling', 'Design & Illustration']"
Hades II,https://store.steampowered.com/app/1145350/Hades_II/,$29.99,"['Action RPG', 'Action', 'Hack and Slash', 'Roguelike', 'Dungeon Crawler', 'Mythology', 'RPG', 'Isometric', 'Story Rich', 'Female Protagonist', 'Hand-drawn', 'Singleplayer', 'Early Access', 'Roguelite', 'LGBTQ+', 'Souls-like', 'Perma Death', 'Atmospheric']"
Barony,https://store.steampowered.com/app/371970/Barony/,$19.99,"['Simulation', 'First-Person', 'Action RPG', 'Roguelike', 'Co-op', 'Dungeon Crawler', 'RPG', 'Pixel Graphics', 'Singleplayer', 'Fantasy', 'Difficult', 'Moddable', 'Voxel']"
Insurgency: Sandstorm,https://store.steampowered.com/app/581320/Insurgency_Sandstorm/,$9.89,"['Tactical', 'Gore', 'First-Person', 'Simulation', 'Open World', 'Multiplayer', 'Action', 'Massively Multiplayer', 'Choices Matter', 'Co-op', 'Violent', 'Atmospheric', 'Difficult', 'Military', 'FPS', 'Realistic', 'Shooter']"
Raft,https://store.steampowered.com/app/648800/Raft/,$19.99,"['Strategy', 'Survival', 'Simulation', 'First-Person', 'Multiplayer', 'Action', 'Massively Multiplayer', 'Singleplayer', 'Co-op', 'Early Access', 'Open World Survival Craft', 'Sandbox', 'Building', 'Adventure', 'Crafting', 'Underwater', 'Open World']"
